,u,v,length,highway,name,maxspeed
4536,648491586,648491589,183.4907477760488,residential,川公路,
4537,648491589,648491586,183.49074777604883,residential,川公路,
4538,648491589,648491585,77.63996494584747,residential,启东路,
4539,648491589,1865212854,2.825883462478096,residential,启东路,
4540,648491592,639341203,333.4436137425869,residential,川公路,
4541,648491592,1865212854,17.88809153442584,residential,启东路,
4542,648492022,1641955681,101.95999331817094,secondary,宝山路,40
4543,648492022,1641955712,105.952537758742,secondary,中兴路,
4544,648492023,1641955706,11.361811583868528,tertiary,东宝兴路,
4545,648492023,648491503,241.0032115566889,secondary,中兴路,
4546,648620800,8364473746,1003.7108948851945,trunk,南北高架路,
4547,648620826,479939588,34.12741279083044,residential,光复路,
4548,648620826,338640325,192.53990829920272,residential,光复路,
4549,648620846,555615155,265.6039853966658,residential,南苏州路,
4550,648620846,486590809,327.2839051583234,residential,成都北路,
4551,648620846,479943890,62.864636877704164,residential,南苏州路,
